Country or Area ID, Country or Area, Year, Series Description, Date of Last Election, Footnote for Last Election Date, Percentage of Seats Held by Women, Additional Footnotes, Data Source
34,Southern Asia,2020,"Seats held by women in national parliament, as of February (%)",,,17.3,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
34,Southern Asia,2021,"Seats held by women in national parliament, as of February (%)",,,17.4,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
34,Southern Asia,2022,"Seats held by women in national parliament, as of February (%)",,,17.6,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
145,Western Asia,2000,"Seats held by women in national parliament, as of February (%)",,,5.2,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
145,Western Asia,2005,"Seats held by women in national parliament, as of February (%)",,,5.7,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
145,Western Asia,2010,"Seats held by women in national parliament, as of February (%)",,,9.3,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
145,Western Asia,2015,"Seats held by women in national parliament, as of February (%)",,,12.8,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
145,Western Asia,2018,"Seats held by women in national parliament, as of February (%)",,,14.3,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
145,Western Asia,2019,"Seats held by women in national parliament, as of February (%)",,,15.3,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
145,Western Asia,2020,"Seats held by women in national parliament, as of February (%)",,,15.6,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
145,Western Asia,2021,"Seats held by women in national parliament, as of February (%)",,,15.7,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
145,Western Asia,2022,"Seats held by women in national parliament, as of February (%)",,,16.6,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
135,Caucasus and Central Asia,2000,"Seats held by women in national parliament, as of February (%)",,,7.0,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
135,Caucasus and Central Asia,2005,"Seats held by women in national parliament, as of February (%)",,,9.9,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
135,Caucasus and Central Asia,2010,"Seats held by women in national parliament, as of February (%)",,,15.1,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
135,Caucasus and Central Asia,2015,"Seats held by women in national parliament, as of February (%)",,,17.9,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
135,Caucasus and Central Asia,2018,"Seats held by women in national parliament, as of February (%)",,,19.5,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
135,Caucasus and Central Asia,2019,"Seats held by women in national parliament, as of February (%)",,,20.0,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
135,Caucasus and Central Asia,2021,"Seats held by women in national parliament, as of February (%)",,,23.5,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
135,Caucasus and Central Asia,2022,"Seats held by women in national parliament, as of February (%)",,,25.7,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
150,Europe,2000,"Seats held by women in national parliament, as of February (%)",,,16.8,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
150,Europe,2005,"Seats held by women in national parliament, as of February (%)",,,20.5,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
150,Europe,2010,"Seats held by women in national parliament, as of February (%)",,,23.2,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
150,Europe,2015,"Seats held by women in national parliament, as of February (%)",,,26.7,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
150,Europe,2018,"Seats held by women in national parliament, as of February (%)",,,28.9,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
150,Europe,2019,"Seats held by women in national parliament, as of February (%)",,,29.8,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
150,Europe,2020,"Seats held by women in national parliament, as of February (%)",,,31.4,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
150,Europe,2021,"Seats held by women in national parliament, as of February (%)",,,31.8,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
150,Europe,2022,"Seats held by women in national parliament, as of February (%)",,,32.6,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
151,Eastern Europe,2000,"Seats held by women in national parliament, as of February (%)",,,9.7,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
151,Eastern Europe,2005,"Seats held by women in national parliament, as of February (%)",,,14.1,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
151,Eastern Europe,2010,"Seats held by women in national parliament, as of February (%)",,,15.2,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
151,Eastern Europe,2015,"Seats held by women in national parliament, as of February (%)",,,16.9,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
151,Eastern Europe,2018,"Seats held by women in national parliament, as of February (%)",,,20.0,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
151,Eastern Europe,2019,"Seats held by women in national parliament, as of February (%)",,,20.5,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
151,Eastern Europe,2020,"Seats held by women in national parliament, as of February (%)",,,22.4,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
151,Eastern Europe,2021,"Seats held by women in national parliament, as of February (%)",,,22.1,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
151,Eastern Europe,2022,"Seats held by women in national parliament, as of February (%)",,,22.5,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
154,Northern Europe,2000,"Seats held by women in national parliament, as of February (%)",,,27.0,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
154,Northern Europe,2005,"Seats held by women in national parliament, as of February (%)",,,28.0,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
154,Northern Europe,2010,"Seats held by women in national parliament, as of February (%)",,,29.6,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
154,Northern Europe,2015,"Seats held by women in national parliament, as of February (%)",,,30.4,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
154,Northern Europe,2018,"Seats held by women in national parliament, as of February (%)",,,33.8,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
154,Northern Europe,2019,"Seats held by women in national parliament, as of February (%)",,,35.1,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
154,Northern Europe,2020,"Seats held by women in national parliament, as of February (%)",,,36.4,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
